id;login;cabinet;dmaj;recordstatus;ddebut;dfin
3049;akolly;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
246;akolly;neuvelle;2016-12-09 11:05:13;1;2015-04-17;2016-12-09
2429;alafay;saintpaul;2018-04-12 16:50:02;1;2017-11-02;2018-04-12
255;alafay;stmartin3;2018-04-10 16:42:04;1;2013-10-24;2018-04-10
2919;alafay;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
256;alafay;stmartin4;2018-04-10 16:42:17;1;2013-10-02;2018-04-10
254;alafay;stmartin2;2018-04-10 16:41:51;1;2013-10-09;2018-04-10
2425;alafay;laplaine;2017-10-24 09:59:58;0;2017-10-24;
257;alagadec;aubevoye;2018-04-10 10:06:51;1;2015-04-24;2018-04-10
260;alagadec;gaillonfosse;2018-05-09 19:04:46;1;2015-03-03;2018-05-09
259;alagadec;gaillon28bis;2018-04-10 10:06:33;1;2015-03-03;2018-04-10
258;alagadec;gaillon;2018-04-10 10:05:51;1;2015-02-26;2018-04-10
1033;alangelier;tonnaycharente;2017-05-26 16:05:11;0;2017-05-26;
3386;alangelier;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2700;alclement;champagnolegiroux;2018-09-21 18:25:07;1;2018-05-16;2018-09-21
2839;alclement;champagnole;2018-09-19 16:13:23;0;2018-09-19;
2642;alclement;champagnolerepublique;2018-09-21 18:25:31;1;2018-05-16;2018-09-21
3558;alclement;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2651;alclement;champagnolejaures;2018-09-21 18:25:19;1;2018-05-16;2018-09-21
2641;alclement;chauxdescrotenay;2018-05-16 11:27:30;0;2018-05-16;
2700;alclement;champagnolegiroux;2018-09-21 18:25:07;1;2018-06-21;2018-09-21
277;aleclech;lesvans;2016-09-27 12:44:24;0;2014-01-28;
2954;aleclech;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
3493;alecomte;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2550;alecomte;baulon;2018-02-16 14:50:02;0;2018-02-16;
2498;alecomte;plelan;2018-01-17 13:27:20;0;2018-01-17;
3146;aleger;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
3308;alegoff;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
